"","X","Catalog.Number","Province.State","Centroid.Latitude","Centroid.Longitude","Date.Collected","Estimated_Infection_Date","Lat"
"196",197,"571130","Virginia",36.7475,-75.9444,"1987-08-24","1987-08-06",37
"197",198,"571132","Virginia",36.5556,-75.87,"1987-08-24","1987-07-16",37
"199",200,"571134","Virginia",36.7142,-75.9319,"1987-08-26","1987-08-04",37
"201",202,"571136","Virginia",36.9297,-76.0097,"1987-08-29","1987-08-10",37
"203",204,"571138","Virginia",36.8642,-75.9789,"1987-08-30","1987-08-08",37
"204",205,"571140","Virginia",36.9319,-76.0258,"1987-09-01","1987-08-11",37
"205",206,"571141","Virginia",36.7583,-76.9489,"1987-09-01","1987-08-17",37
"206",207,"571142","Virginia",36.8794,-75.9836,"1987-09-01","1987-08-11",37
"207",208,"571143","Virginia",36.8469,-75.9789,"1987-09-02","1987-07-30",37
"208",209,"571144","Virginia",36.8289,-75.9708,"1987-09-01","1987-08-11",37
"209",210,"571145","Virginia",36.9328,-76.1844,"1987-09-03","1987-08-06",37
"211",212,"571147","Virginia",36.8175,-75.9672,"1987-09-04","1987-08-19",37
"214",215,"571151","Virginia",36.9328,-76.1972,"1987-09-05","1987-08-16",37
"215",216,"571152","Virginia",36.8178,-75.9675,"1987-09-05","1987-07-28",37
"216",217,"571153","Virginia",36.965,-76.2861,"1987-09-06","1987-08-16",37
"217",218,"571154","Virginia",36.785,-75.9583,"1987-09-07","1987-08-22",37
"218",219,"571155","Virginia",36.9067,-75.9906,"1987-09-07","1987-08-16",37
"220",221,"571157","Virginia",36.9278,-76.0056,"1987-09-08","1987-08-11",37
"221",222,"571158","Virginia",36.93,-76,"1987-09-09","1987-08-22",37
"222",223,"571159","Virginia",37,-76.55,"1987-09-10","1987-08-09",37
"223",224,"571160","Virginia",36.95,-76.5,"1987-08-17","1987-07-25",37
"225",226,"571162","North Carolina",36.5144,-75.8603,"1987-09-06","1987-08-12",37
"227",228,"571164","Virginia",36.7456,-75.9433,"1987-09-18","1987-08-27",37
"229",230,"571166","Virginia",36.8628,-75.9781,"1987-09-18","1987-08-30",37
"234",235,"571171","Virginia",36.9278,-76.0056,"1987-09-19","1987-08-28",37
"235",236,"571172","Virginia",36.9311,-76.0364,"1987-09-22","1987-08-31",37
"237",238,"571174","Virginia",36.5753,-75.8722,"1987-09-23","1987-09-06",37
"239",240,"571176","North Carolina",36.515,-75.8617,"1987-09-23","1987-09-08",37
"240",241,"571177","North Carolina",36.42,-75.8339,"1987-09-23","1987-09-05",36
"241",242,"571178","North Carolina",36.5439,-75.8667,"1987-09-23","1987-08-20",37
"244",245,"571181","Virginia",36.8453,-75.9733,"1987-09-29","1987-09-12",37
"245",246,"571182","Virginia",36.7,-75.9236,"1987-10-01","1987-09-09",37
"246",247,"571183","North Carolina",36.5375,-75.8656,"1987-10-02","1987-09-13",37
"247",248,"571184","Virginia",36.7392,-75.9383,"1987-10-13","1987-09-17",37
"248",249,"571185","Virginia",36.9022,-75.9914,"1987-10-12","1987-09-15",37
"249",250,"571186","Virginia",36.5603,-75.42,"1987-10-16","1987-09-10",37
"250",251,"571187","Virginia",36.9214,-76.0492,"1987-10-17","1987-09-26",37
"251",252,"571188","North Carolina",35.2178,-75.5325,"1987-10-17","1987-09-24",35
"252",253,"571189","North Carolina",36.3647,-75.8467,"1987-10-21","1987-09-18",36
"254",255,"571191","Virginia",37,-75,"1987-10-19","1987-09-18",37
"255",256,"571192","Virginia",37.87,-75.35,"1987-10-21","1987-09-20",38
"256",257,"571197","Virginia",37.5042,-76.1883,"1987-07-18","1987-06-24",38
"257",258,"571198","Virginia",37.9494,-75.3025,"1987-07-25","1987-07-07",38
"258",259,"571204","Virginia",36.62,-75.9,"1988-01-23","1988-01-06",37
"259",260,"571205","Virginia",37.17,-76.38,"1987-06-06","1987-05-17",37
"260",261,"571221","North Carolina",34.68,-76.55,"1987-10-31","1987-10-12",35
"261",262,"571223","North Carolina",35.27,-75.55,"1988-03-26","1988-03-05",35
"263",264,"571230","North Carolina",34.6944,-76.6861,"1988-04-24","1988-04-07",35
"264",265,"571231","North Carolina",34.6944,-76.6861,"1988-04-24","1988-04-09",35
"265",266,"571237","Maryland",38.3397,-75.08,"1987-07-22","1987-07-06",38
"266",267,"571239","Maryland",38.08,-75.2,"1987-06-19","1987-06-01",38
"267",268,"571240","Virginia",36.9133,-76.0756,"1987-07-12","1987-06-18",37
"268",269,"571241","Georgia",31,-80,"1987-11-24","1987-11-06",31
"269",270,"571242","South Carolina",32.75,-79,"1987-11-23","1987-11-07",33
"271",272,"571246","Virginia",37.0517,-76.2856,"1987-08-12","1987-07-27",37
"272",273,"571247","Virginia",37.33,-76.67,"1987-08-16","1987-07-30",37
"273",274,"571249","Virginia",37.2533,-76.4278,"1987-08-12","1987-07-20",37
"274",275,"571250","Virginia",37.18,-76.38,"1987-08-25","1987-07-27",37
"275",278,"571259","North Carolina",34.68,-76.77,"1987-10-22","1987-10-01",35
"276",279,"MME 2272","North Carolina",35.775,-75.5417,"1987-05-19","1987-05-02",36
"277",280,"MME 2312","Georgia",30.7375,-81.4569,"1987-03-26","1987-02-28",31
"278",281,"MME 2447","Virginia",37.37,-76.72,"1987-05-27","1987-05-01",37
"279",282,"MME 2448","Virginia",36.92,-76.18,"1987-05-29","1987-05-15",37
"280",283,"MME 2451","Virginia",36,-75.98,"1987-06-09","1987-05-17",36
"281",284,"MME 2456","Virginia",37.22,-75.9,"1987-05-26","1987-05-03",37
"282",285,"MME 2461","North Carolina",35.43,-75.47,"1987-05-24","1987-04-24",35
"283",286,"MME 2463","Georgia",30.9028,-81.4528,"1987-05-23","1987-04-26",31
"284",287,"MME 2464","Georgia",30.7542,-81.4744,"1987-04-26","1987-03-23",31
"285",288,"MME 2469","North Carolina",33.98,-77.9,"1987-05-06","1987-04-22",34
"286",289,"MME 2484","Virginia",37.27,-76.02,"1987-06-19","1987-05-17",37
"287",290,"MME 2485","Virginia",37.27,-76.02,"1987-06-19","1987-05-23",37
"288",291,"MME 2492","Maryland",38.08,-75.2,"1987-06-25","1987-06-08",38
"290",293,"MME 2495","Virginia",36.6,-75.88,"1987-06-30","1987-05-25",37
"291",294,"MME 2496","Virginia",37.15,-75.98,"1987-06-30","1987-06-12",37
"295",298,"571559","Maryland",38.4394,-75.0511,"1987-07-17","1987-06-25",38
"296",299,"MME 2519","Virginia",37.1994,-76.3936,"1987-07-13","1987-06-19",37
"298",301,"MME 2521","Virginia",36.8572,-75.9947,"1987-07-13","1987-06-25",37
"301",304,"MME 2542","New Jersey",39.03,-74.93,"1987-06-15","1987-05-19",39
"302",305,"MME 2543","New Jersey",38.8614,-74.8417,"1987-06-21","1987-05-31",39
